FID,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
343,42,003,070500,42003070500,1400000US42003070500,705,Census Tract 705,G5020,S,412753,0,+40.4560165,-079.9289619,4442482.02990723,8633.25593258552
344,42,003,070800,42003070800,1400000US42003070800,708,Census Tract 708,G5020,S,446681,0,+40.4564708,-079.9197675,4807622.10040283,10074.2503938579
345,42,003,090200,42003090200,1400000US42003090200,902,Census Tract 902,G5020,S,446356,0,+40.4688930,-079.9571463,4804087.97808838,9897.88205203399
346,42,003,090300,42003090300,1400000US42003090300,903,Census Tract 903,G5020,S,258047,0,+40.4643488,-079.9529437,2777420.65924072,7668.52230311718
347,42,003,100500,42003100500,1400000US42003100500,1005,Census Tract 1005,G5020,S,714843,0,+40.4771780,-079.9370127,7693856.25256348,12192.8818827096
348,42,003,101100,42003101100,1400000US42003101100,1011,Census Tract 1011,G5020,S,1049825,305755,+40.4842661,-079.9493327,14590113.7039185,20280.1790610455
349,42,003,140100,42003140100,1400000US42003140100,1401,Census Tract 1401,G5020,S,1467607,0,+40.4427482,-079.9373596,15795847.3168335,16994.6077966199
350,42,003,140200,42003140200,1400000US42003140200,1402,Census Tract 1402,G5020,S,759494,0,+40.4478011,-079.9263113,8174419.36437988,13410.6117075504
351,42,003,060300,42003060300,1400000US42003060300,603,Census Tract 603,G5020,S,1116677,143800,+40.4649167,-079.9653118,13566533.6911621,16403.4449642734
352,42,003,070900,42003070900,1400000US42003070900,709,Census Tract 709,G5020,S,805690,0,+40.4520166,-079.9419644,8671630.40093994,15241.2666116699
353,42,003,111300,42003111300,1400000US42003111300,1113,Census Tract 1113,G5020,S,540629,0,+40.4690103,-079.9245448,5818802.33886719,12286.6774562647
354,42,003,111400,42003111400,1400000US42003111400,1114,Census Tract 1114,G5020,S,327621,0,+40.4670104,-079.9318421,3526196.98022461,7827.92740087573
355,42,003,980400,42003980400,1400000US42003980400,9804,Census Tract 9804,G5020,S,1106319,0,+40.4819407,-080.0200152,11907307.3320923,23754.7803336721
356,42,003,980500,42003980500,1400000US42003980500,9805,Census Tract 9805,G5020,S,1611394,8798,+40.4327243,-079.9436647,17438087.9454346,18520.1708705867
357,42,003,980300,42003980300,1400000US42003980300,9803,Census Tract 9803,G5020,S,1294128,0,+40.4325503,-079.9057229,13928689.034729,17935.3952813163
358,42,003,562700,42003562700,1400000US42003562700,5627,Census Tract 5627,G5020,S,909691,6551,+40.4534265,-080.0108246,9861457.8135376,14086.7401724961
359,42,003,982200,42003982200,1400000US42003982200,9822,Census Tract 9822,G5020,S,505672,0,+40.4444879,-079.9547652,5442579.61425781,16352.8945571002
360,42,003,980700,42003980700,1400000US42003980700,9807,Census Tract 9807,G5020,S,620569,458389,+40.4367678,-080.0105440,11612813.6788635,22856.3718961522
361,42,003,981000,42003981000,1400000US42003981000,9810,Census Tract 9810,G5020,S,1378279,0,+40.4731038,-079.9488133,14834394.8616943,20191.0258859848
362,42,003,981200,42003981200,1400000US42003981200,9812,Census Tract 9812,G5020,S,461252,135771,+40.4464628,-080.0119581,6425740.86004639,11791.0833211393
363,42,003,980800,42003980800,1400000US42003980800,9808,Census Tract 9808,G5020,S,346129,164858,+40.4342391,-079.9687916,5499751.46606445,12078.3058882308
364,42,003,470501,42003470501,1400000US42003470501,4705.01,Census Tract 4705.01,G5020,S,1128817,0,+40.3976159,-080.0594447,12149481.0121765,15940.6110745568
365,42,003,980600,42003980600,1400000US42003980600,9806,Census Tract 9806,G5020,S,981768,469916,+40.4515634,-080.0280024,15624458.6224976,21318.219801234
366,42,003,980900,42003980900,1400000US42003980900,9809,Census Tract 9809,G5020,S,1464153,854869,+40.4716746,-080.0433505,24959645.7800293,25138.4285268899
367,42,003,401100,42003401100,1400000US42003401100,4011,Census Tract 4011,G5020,S,13179429,840185,+40.6510266,-079.7151954,150894813.744934,52712.8007588683
368,42,003,510000,42003510000,1400000US42003510000,5100,Census Tract 5100,G5020,S,1003875,0,+40.3968659,-079.8381999,10804683.9733582,15631.3932614509
369,42,003,512000,42003512000,1400000US42003512000,5120,Census Tract 5120,G5020,S,1280505,0,+40.4047787,-079.8451060,13782000.8453979,18591.0417184359
370,42,003,514000,42003514000,1400000US42003514000,5140,Census Tract 5140,G5020,S,1121696,187688,+40.4133642,-079.8838201,14092918.4296875,15114.3653145633
371,42,003,515100,42003515100,1400000US42003515100,5151,Census Tract 5151,G5020,S,1101841,0,+40.4182193,-079.8785411,11859121.0985718,17570.8876258639
372,42,003,515200,42003515200,1400000US42003515200,5152,Census Tract 5152,G5020,S,545335,0,+40.4249045,-079.8795918,5869462.74523926,10828.3960547486
373,42,003,515300,42003515300,1400000US42003515300,5153,Census Tract 5153,G5020,S,868386,138276,+40.4187009,-079.8929741,10834729.0140076,14674.6730305997
374,42,003,516100,42003516100,1400000US42003516100,5161,Census Tract 5161,G5020,S,713472,0,+40.4309181,-079.8886054,7679088.41485596,12274.5169452841
375,42,003,516200,42003516200,1400000US42003516200,5162,Census Tract 5162,G5020,S,809167,0,+40.4316271,-079.8798721,8709035.6784668,14370.2394687777
376,42,003,517000,42003517000,1400000US42003517000,5170,Census Tract 5170,G5020,S,2454360,20299,+40.4145604,-079.8612725,26634716.5384521,30420.4931001315
377,42,003,522000,42003522000,1400000US42003522000,5220,Census Tract 5220,G5020,S,1309388,0,+40.4077743,-079.7763540,14092943.3479614,30459.7037101701
378,42,003,523400,42003523400,1400000US42003523400,5234,Census Tract 5234,G5020,S,3253596,0,+40.4561910,-079.8334742,35018397.7359619,24313.062516387
379,42,003,524000,42003524000,1400000US42003524000,5240,Census Tract 5240,G5020,S,1312704,235470,+40.5056721,-079.8419473,16662983.4481201,21136.738514717
380,42,003,525100,42003525100,1400000US42003525100,5251,Census Tract 5251,G5020,S,1357813,0,+40.5171879,-079.8292612,14614161.8867188,21323.3272163298
381,42,003,525300,42003525300,1400000US42003525300,5253,Census Tract 5253,G5020,S,1621773,198507,+40.5252192,-079.8362238,19591705.4278564,22399.8858579375
382,42,003,550900,42003550900,1400000US42003550900,5509,Census Tract 5509,G5020,S,989679,0,+40.3484399,-079.8518334,10651995.8921204,17546.0843513473
383,42,003,552000,42003552000,1400000US42003552000,5520,Census Tract 5520,G5020,S,639467,0,+40.3415634,-079.8409060,6882661.5340271,12368.5047308071
384,42,003,552100,42003552100,1400000US42003552100,5521,Census Tract 5521,G5020,S,692361,100358,+40.3453582,-079.8640158,8532009.40744019,15626.1130124748
385,42,003,552200,42003552200,1400000US42003552200,5522,Census Tract 5522,G5020,S,809820,246035,+40.3495556,-079.8755912,11364147.6726074,14475.8239268526
386,42,003,560400,42003560400,1400000US42003560400,5604,Census Tract 5604,G5020,S,511709,0,+40.4446694,-079.8902486,5507531.25531006,10911.8007968047
387,42,003,560500,42003560500,1400000US42003560500,5605,Census Tract 5605,G5020,S,464334,0,+40.4377737,-079.8912697,4997622.03265381,9024.95791703237
388,42,003,552300,42003552300,1400000US42003552300,5523,Census Tract 5523,G5020,S,830981,0,+40.3417540,-079.8513513,8943924.64520264,15775.6878239984
389,42,003,475200,42003475200,1400000US42003475200,4752,Census Tract 4752,G5020,S,4720556,0,+40.3239562,-080.0560365,50807631.8400269,46736.2855930322
390,42,003,475301,42003475301,1400000US42003475301,4753.01,Census Tract 4753.01,G5020,S,3387769,0,+40.3242148,-080.0340368,36462735.9688721,29498.4351255959
391,42,003,495000,42003495000,1400000US42003495000,4950,Census Tract 4950,G5020,S,49019304,2462216,+40.2320479,-079.9068000,554103975.721802,104992.147885529
392,42,003,521302,42003521302,1400000US42003521302,5213.02,Census Tract 5213.02,G5020,S,7972525,15818,+40.4156159,-079.7872080,85978512.5488892,56455.4675726876
393,42,003,523701,42003523701,1400000US42003523701,5237.01,Census Tract 5237.01,G5020,S,6548443,0,+40.5041079,-079.8181437,70480952.3029785,44671.1863096813
394,42,003,525200,42003525200,1400000US42003525200,5252,Census Tract 5252,G5020,S,1121761,296443,+40.5158744,-079.8451025,15264205.0690308,16544.3386969643
